VehicleName	TimeStamp	POS_X	POS_Y	POS_Z	Q_W	Q_X	Q_Y	Q_Z	ImageFile
Drone1	1644860798158	-177.962	57.6916	-45.1892	0.993973	-0.0440769	-0.0995169	-0.0130658	img_Drone1__0_1644860798690898600.png
Drone1	1644860798212	-178.565	57.8884	-45.185	0.988515	-0.0578701	-0.138943	-0.0135477	img_Drone1__0_1644860798743993800.png
Drone1	1644860798266	-179.156	58.081	-45.1835	0.982273	-0.0697127	-0.173418	-0.0143501	img_Drone1__0_1644860798799836000.png
Drone1	1644860798347	-180.016	58.3601	-45.188	0.973027	-0.0829583	-0.214661	-0.0160577	img_Drone1__0_1644860798879111400.png
Drone1	1644860798431	-180.868	58.6345	-45.2015	0.964885	-0.0915717	-0.24551	-0.0183749	img_Drone1__0_1644860798962109000.png
Drone1	1644860798488	-181.421	58.8112	-45.2148	0.960291	-0.0952769	-0.261448	-0.0202116	img_Drone1__0_1644860799021703100.png
Drone1	1644860798545	-181.952	58.9798	-45.2304	0.956224	-0.0979173	-0.274869	-0.0222344	img_Drone1__0_1644860799078413100.png
Drone1	1644860798605	-182.487	59.1484	-45.2483	0.952308	-0.100006	-0.287239	-0.0245473	img_Drone1__0_1644860799137519800.png
Drone1	1644860798662	-182.972	59.3001	-45.2656	0.948844	-0.101529	-0.297764	-0.0268852	img_Drone1__0_1644860799193999400.png
Drone1	1644860798719	-183.434	59.4434	-45.2825	0.945601	-0.10267	-0.307308	-0.0293123	img_Drone1__0_1644860799250738400.png
Drone1	1644860798773	-183.85	59.5715	-45.2973	0.94272	-0.103474	-0.315546	-0.031666	img_Drone1__0_1644860799306615800.png
Drone1	1644860798830	-184.266	59.6984	-45.3112	0.939909	-0.104	-0.323402	-0.0341504	img_Drone1__0_1644860799362203900.png
Drone1	1644860798914	-184.834	59.8697	-45.3284	0.936348	-0.104005	-0.333192	-0.0376732	img_Drone1__0_1644860799447074000.png
Drone1	1644860798971	-185.19	59.9751	-45.3371	0.934367	-0.103525	-0.338598	-0.0399124	img_Drone1__0_1644860799504785100.png
